"","length","max_sp_length","length_index","hg_liv","hg_mus","se_liv","se_mus","species","genus","family","subord","format","sample","number","tissue","lat","long","trophic","X","author","source_doi","habit","hg_sea"
"225","156","256","0.609375","360","16.59","117","3.1","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","both",43.657676,8.813163,4.2,"","Capelli et al 2008","10.1016/j.scitotenv.2007.10.036","n",4.64748818599232e-10
"226","178","330","0.5393939394","13.55","2.57","8.73","2.56","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","DW","1","both",43.657676,8.813163,4.2,"","Capelli et al 2008","10.1016/j.scitotenv.2007.10.036","n",4.64748818599232e-10
"227","278","330","0.8424242424","3737","166","1708","34.33","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","DW","1","both",43.657676,8.813163,4.2,"","Capelli et al 2008","10.1016/j.scitotenv.2007.10.036","n",4.64748818599232e-10
"228","535","700","0.7642857143","258","21.79","142","4.69","Ziphius cavirostris","Ziphius","Ziphiidae","Odontoceti","ug/g","DW","1","both",43.657676,8.813163,4.3,"","Capelli et al 2008","10.1016/j.scitotenv.2007.10.036","n",4.64748818599232e-10
"229","ND","256","ND","189.16","10.87","80.25","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","6","liver",39.703478,18.628424,4.2,"","Cardellicchio et al 2000","10.1016/s0141-1136(99)00048-3","n",6.7862317823969e-10
"230","195","256","0.76171875","168","ND","72.3","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","liver",39.703478,18.628424,4.2,"","Cardellicchio et al 2002","10.1016/S0269-7491(01)00127-0","n",6.7862317823969e-10
"231","111","256","0.43359375","2.27","ND","1.9","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","liver",39.703478,18.628424,4.2,"","Cardellicchio et al 2002","10.1016/S0269-7491(01)00127-0","n",6.7862317823969e-10
"232","208","256","0.8125","263","ND","92.1","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","liver",39.703478,18.628424,4.2,"","Cardellicchio et al 2002","10.1016/S0269-7491(01)00127-0","n",6.7862317823969e-10
"233","168","256","0.65625","12.33","ND","4.5","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","liver",39.703478,18.628424,4.2,"","Cardellicchio et al 2002","10.1016/S0269-7491(01)00127-0","n",6.7862317823969e-10
"234","137","256","0.53515625","3.22","ND","1.9","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","liver",39.703478,18.628424,4.2,"","Cardellicchio et al 2002","10.1016/S0269-7491(01)00127-0","n",6.7862317823969e-10
"235","208","256","0.8125","242","ND","81","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","liver",39.703478,18.628424,4.2,"","Cardellicchio et al 2002","10.1016/S0269-7491(01)00127-0","n",6.7862317823969e-10
"236","195","256","0.76171875","351.86","ND","127","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","liver",39.703478,18.628424,4.2,"","Cardellicchio et al 2002","10.1016/S0269-7491(01)00127-0","n",6.7862317823969e-10
"237","183","256","0.71484375","107.35","ND","39","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","liver",39.703478,18.628424,4.2,"","Cardellicchio et al 2002","10.1016/S0269-7491(01)00127-0","n",6.7862317823969e-10
"238","190","256","0.7421875","183","ND","71.1","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","liver",39.703478,18.628424,4.2,"","Cardellicchio et al 2002","10.1016/S0269-7491(01)00127-0","n",6.7862317823969e-10
"239","208","256","0.8125","374.5","ND","141","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","liver",39.703478,18.628424,4.2,"","Cardellicchio et al 2002","10.1016/S0269-7491(01)00127-0","n",6.7862317823969e-10
"240","ND","235","ND","20.5","6.3","25","3.1","Delphinus delphis","Delphinus","Delphinidae","Odontoceti","ug/g","DW","15","liver",39.449074,-9.473062,4.2,"","Carvalho et al 2002","10.1016/s0048-9697(01)01131-7","n",5.44034658334465e-10
"241","ND","235","ND","1.3","0.7","1","ND","Delphinus delphis","Delphinus","Delphinidae","Odontoceti","ug/g","DW","1","liver",39.449074,-9.473062,4.2,"","Carvalho et al 2002","10.1016/s0048-9697(01)01131-7","n",5.44034658334465e-10
"242","ND","235","ND","99","25","66","ND","Delphinus delphis","Delphinus","Delphinidae","Odontoceti","ug/g","DW","1","liver",39.449074,-9.473062,4.2,"","Carvalho et al 2002","10.1016/s0048-9697(01)01131-7","n",5.44034658334465e-10
"243","ND","330","ND","23","2.1","12","1.2","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","DW","1","liver",39.449074,-9.473062,4.2,"","Carvalho et al 2002","10.1016/s0048-9697(01)01131-7","n",5.44034658334465e-10
"244","ND","330","ND","241","17","91","3.7","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","DW","1","liver",39.449074,-9.473062,4.2,"","Carvalho et al 2002","10.1016/s0048-9697(01)01131-7","n",5.44034658334465e-10
"245","81.3","170","0.4782352941","0.981","0.089","ND","ND","Pontoporia blainvillei","Pontoporia","Pontoporidae","Odontoceti","ug/g","WW","1","liver",-21.89023,-40.970705,4.1,"","Carvalho et al 2008","10.1017/S0025315408000325","n",6.4426278007713e-10
"246","83.2","200","0.416","1.14","0.366","ND","ND","Sotalia guianensis","Sotalia","Delphinidae","Odontoceti","ug/g","WW","1","liver",-21.89023,-40.970705,4,"","Carvalho et al 2008","10.1017/S0025315408000325","n",6.4426278007713e-10
"247","87.8","170","0.5164705882","1.5","0.133","ND","ND","Pontoporia blainvillei","Pontoporia","Pontoporidae","Odontoceti","ug/g","WW","1","liver",-21.89023,-40.970705,4.1,"","Carvalho et al 2008","10.1017/S0025315408000325","n",6.4426278007713e-10
"248","97.5","170","0.5735294118","0.619","0.251","ND","ND","Pontoporia blainvillei","Pontoporia","Pontoporidae","Odontoceti","ug/g","WW","1","liver",-21.89023,-40.970705,4.1,"","Carvalho et al 2008","10.1017/S0025315408000325","n",6.4426278007713e-10
"249","105","170","0.6176470588","0.465","0.066","ND","ND","Pontoporia blainvillei","Pontoporia","Pontoporidae","Odontoceti","ug/g","WW","1","liver",-21.89023,-40.970705,4.1,"","Carvalho et al 2008","10.1017/S0025315408000325","n",6.4426278007713e-10
"250","113","170","0.6647058824","0.619","0.206","ND","ND","Pontoporia blainvillei","Pontoporia","Pontoporidae","Odontoceti","ug/g","WW","1","liver",-21.89023,-40.970705,4.1,"","Carvalho et al 2008","10.1017/S0025315408000325","n",6.4426278007713e-10
"251","116","170","0.6823529412","1.66","0.277","ND","ND","Pontoporia blainvillei","Pontoporia","Pontoporidae","Odontoceti","ug/g","WW","1","liver",-21.89023,-40.970705,4.1,"","Carvalho et al 2008","10.1017/S0025315408000325","n",6.4426278007713e-10
"252","120","170","0.7058823529","2.94","0.202","ND","ND","Pontoporia blainvillei","Pontoporia","Pontoporidae","Odontoceti","ug/g","WW","1","liver",-21.89023,-40.970705,4.1,"","Carvalho et al 2008","10.1017/S0025315408000325","n",6.4426278007713e-10
"253","165","200","0.825","1.86","0.341","ND","ND","Sotalia guianensis","Sotalia","Delphinidae","Odontoceti","ug/g","WW","1","liver",-21.89023,-40.970705,4,"","Carvalho et al 2008","10.1017/S0025315408000325","n",6.4426278007713e-10
"254","176","200","0.88","12.9","0.578","ND","ND","Sotalia guianensis","Sotalia","Delphinidae","Odontoceti","ug/g","WW","1","liver",-21.89023,-40.970705,4,"","Carvalho et al 2008","10.1017/S0025315408000325","n",6.4426278007713e-10
"255","180","200","0.9","21.9","0.895","ND","ND","Sotalia guianensis","Sotalia","Delphinidae","Odontoceti","ug/g","WW","1","liver",-21.89023,-40.970705,4,"","Carvalho et al 2008","10.1017/S0025315408000325","n",6.4426278007713e-10
"256","183","200","0.915","15.8","0.728","ND","ND","Sotalia guianensis","Sotalia","Delphinidae","Odontoceti","ug/g","WW","1","liver",-21.89023,-40.970705,4,"","Carvalho et al 2008","10.1017/S0025315408000325","n",6.4426278007713e-10
"257","196","200","0.98","6.71","1.41","ND","ND","Sotalia guianensis","Sotalia","Delphinidae","Odontoceti","ug/g","WW","1","liver",-21.89023,-40.970705,4,"","Carvalho et al 2008","10.1017/S0025315408000325","n",6.4426278007713e-10
"258","ND","620","ND","29","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"259","ND","620","ND","74","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"260","ND","620","ND","74","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"261","ND","620","ND","48","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"262","ND","620","ND","12","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"263","ND","620","ND","97","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"264","ND","620","ND","98","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"265","ND","620","ND","98","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"266","ND","620","ND","99","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"267","ND","620","ND","87","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"268","ND","620","ND","52","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"269","ND","620","ND","198","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"270","ND","620","ND","202","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"271","ND","620","ND","204","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"272","ND","620","ND","206","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"273","ND","620","ND","165","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"274","ND","620","ND","55","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"275","ND","620","ND","104","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"276","ND","620","ND","194","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"277","ND","620","ND","201","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"278","ND","620","ND","200","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"279","ND","620","ND","117","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"280","ND","620","ND","94","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"281","ND","620","ND","189","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"282","ND","620","ND","32","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"283","ND","620","ND","467","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"284","ND","620","ND","137","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"285","ND","620","ND","140","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"286","ND","620","ND","248","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"287","ND","620","ND","243","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"288","ND","620","ND","556","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"289","ND","620","ND","453","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"290","ND","620","ND","217","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"291","ND","620","ND","7","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"292","ND","620","ND","6","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"293","ND","620","ND","22","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"294","ND","620","ND","6","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"295","ND","620","ND","14","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"296","ND","620","ND","18","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"297","ND","620","ND","7","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"298","ND","620","ND","53","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"299","ND","620","ND","22","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"300","ND","620","ND","35","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"301","ND","620","ND","109","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"302","ND","620","ND","110","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"303","ND","620","ND","49","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"304","ND","620","ND","70","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"305","ND","620","ND","89","ND","ND","ND","Globicephala melas","Globicephala","Delphinidae","Odontoceti","ug/g","WW","1","liver",61.981657,-7.399449,4.4,"","Caurant et al 1994x","10.3354/meps103207","n",5.61008207033513e-10
"306","179","380","0.4710526316","ND","0.71","ND","0.78","Grampus griseus","Grampus","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"307","160.5","240","0.66875","ND","1.27","ND","0.91","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"308","176","240","0.7333333333","ND","1.35","ND","1.43","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"309","233.5","380","0.6144736842","ND","1.44","ND","1.03","Grampus griseus","Grampus","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"310","173","217","0.797235023","ND","1.51","ND","1.61","Stenella longirostris","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"311","167.5","240","0.6979166667","ND","1.68","ND","1.4","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"312","196","240","0.8166666667","ND","1.71","ND","0.98","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"313","171.8","217","0.7917050691","ND","1.76","ND","1.56","Stenella longirostris","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"314","172.5","240","0.71875","ND","1.81","ND","0.87","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"315","197","330","0.596969697","ND","1.85","ND","1.37","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.2,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"316","172.5","240","0.71875","ND","2.26","ND","1.65","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"317","174","240","0.725","ND","2.34","ND","0.76","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"318","178","240","0.7416666667","ND","2.45","ND","1.01","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"319","168","240","0.7","ND","2.77","ND","1.03","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"320","170","240","0.7083333333","ND","2.84","ND","1.3","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"321","170","240","0.7083333333","ND","2.98","ND","1.55","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"322","175.5","240","0.73125","ND","3.25","ND","1.03","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"323","176","240","0.7333333333","ND","3.3","ND","1.68","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"324","182.5","240","0.7604166667","ND","3.62","ND","1.12","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"325","175.5","240","0.73125","ND","3.71","ND","0.99","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"326","190","240","0.7916666667","ND","3.89","ND","1.48","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"327","171.5","240","0.7145833333","ND","4.42","ND","1.71","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"328","201","240","0.8375","ND","5.32","ND","1.65","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"329","205","240","0.8541666667","ND","5.72","ND","1.27","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"330","197","240","0.8208333333","ND","7.67","ND","2.55","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"331","180","240","0.75","ND","8.23","ND","1.89","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"332","198.5","330","0.6015151515","ND","0.73","ND","0.65","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.2,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"333","154","217","0.7096774194","ND","0.84","ND","1.72","Stenella longirostris","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"334","180.5","380","0.475","ND","0.84","ND","1.65","Grampus griseus","Grampus","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"335","148.5","217","0.6843317972","ND","1.04","ND","1.13","Stenella longirostris","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"336","158.5","240","0.6604166667","ND","1.05","ND","1.57","Stenella attenuata","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"337","247","330","0.7484848485","ND","1.21","ND","0.85","Tursiops truncatus","Tursiops","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.2,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
"338","160","217","0.7373271889","ND","1.23","ND","1.16","Stenella longirostris","Stenella","Delphinidae","Odontoceti","ug/g","WW","1","muscle",22.7016,121.278634,4.3,"","Chen et al 2002","10.1016/s0025-326x(02)00095-4","n",8.14786970254372e-10
