"","length","max_sp_length","length_index","hg_liv","hg_mus","se_liv","se_mus","species","genus","family","subord","format","sample","number","tissue","lat","long","trophic","X","author","source_doi","habit","hg_sea"
"25","ND","178","ND","22","22","ND","ND","Phocoena phocoena","Phocoena","Phocoenidae","Odontoceti","ug/g","WW","4","liver",56.100639,7.540682,4.1,"","Andersen & Rebsdorff 1976","Aquatic Mammals 4(1):14-20","n",6.55869556652509e-10
"26","ND","275","ND","19","19","ND","ND","Lagenorhynchus albirostris","Lagenorhynchus","Delphinidae","Odontoceti","ug/g","WW","1","liver",56.100639,7.540682,4.2,"","Andersen & Rebsdorff 1976","Aquatic Mammals 4(1):14-20","n",6.55869556652509e-10
"27","93","256","0.36328125","4.2","4.2","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"28","117","256","0.45703125","2","2","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"29","140","256","0.546875","1.2","1.2","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"30","177","256","0.69140625","639","639","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"31","185","256","0.72265625","327","327","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"32","188","256","0.734375","143","143","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"33","190","256","0.7421875","139","139","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"34","192","256","0.75","280","280","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"35","200","256","0.78125","ND","ND","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"36","200","256","0.78125","108","108","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"37","205","256","0.80078125","346","346","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"38","217","256","0.84765625","359","359","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"39","220","256","0.859375","733","733","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"40","152","256","0.59375","20.4","20.4","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"41","153","256","0.59765625","49","49","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"42","171","256","0.66796875","333","333","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"43","183","256","0.71484375","16","16","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"44","188","256","0.734375","867","867","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"45","188","256","0.734375","ND","ND","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"46","196","256","0.765625","486","486","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"47","197","256","0.76953125","326","326","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"48","197","256","0.76953125","363","363","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"49","200","256","0.78125","372","372","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"50","205","256","0.80078125","736","736","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"51","206","256","0.8046875","453","453","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
"52","208","256","0.8125","4.7","4.7","ND","ND","Stenella coeruleoalba","Stenella","Delphinidae","Odontoceti","ug/g","DW","1","liver",42.78694,6.783451,4.2,"","Andre et al 1991ax","10.1016/0048-9697(91)90072-M","n",6.06072499746681e-10
